image_id,label
000,5
001,1
002,7
003,4
004,3
005,0
006,4
007,7
008,1
009,9
010,7
011,2
012,0
013,1
014,0
015,3
016,5
017,4
018,2
019,4
020,6
021,3
022,2
023,2
024,0
025,1
026,1
027,5
028,6
029,0
030,1
031,2
032,2
033,1
034,4
035,4
036,5
037,6
038,6
039,6
040,3
041,3
042,4
043,3
044,6
045,9
046,4
047,6
048,9
049,7
050,0
051,4
052,0
053,5
054,6
055,2
056,5
057,8
058,5
059,8
060,9
061,8
062,5
063,6
064,6
065,9
066,3
067,6
068,3
069,2
070,0
071,0
072,3
073,4
074,7
075,0
076,9
077,6
078,4
079,7
080,2
081,7
082,0
083,0
084,2
085,4
086,0
087,2
088,9
089,2
090,4
091,2
092,4
093,6
094,7
095,6
096,9
097,7
098,9
099,7
